label	dp	mut_freq
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	27	0.01
kmers	1	0.01
kmers	1	0.01
kmers	7	0.01
kmers	16	0.01
kmers	1	0.01
kmers	1	0.01
kmers	7	0.01
kmers	53	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	2	0.01
kmers	31	0.01
kmers	33	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	17	0.01
kmers	21	0.01
kmers	1	0.01
kmers	18	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	16	0.01
kmers	16	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	23	0.01
kmers	19	0.01
kmers	1	0.01
kmers	1	0.01
kmers	39	0.01
kmers	1	0.01
kmers	7	0.01
kmers	19	0.01
kmers	13	0.01
kmers	1	0.01
kmers	1	0.01
kmers	22	0.01
kmers	21	0.01
kmers	1	0.01
kmers	1	0.01
kmers	17	0.01
kmers	1	0.01
kmers	1	0.01
kmers	7	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	22	0.01
kmers	1	0.01
kmers	5	0.01
kmers	1	0.01
kmers	1	0.01
kmers	24	0.01
kmers	1	0.01
kmers	5	0.01
kmers	23	0.01
kmers	1	0.01
kmers	1	0.01
kmers	16	0.01
kmers	31	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	26	0.01
kmers	26	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	14	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	19	0.01
kmers	1	0.01
kmers	45	0.01
kmers	1	0.01
kmers	4	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	32	0.01
kmers	3	0.01
kmers	1	0.01
kmers	1	0.01
kmers	44	0.01
kmers	11	0.01
kmers	1	0.01
kmers	30	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	13	0.01
kmers	1	0.01
kmers	27	0.01
kmers	1	0.01
kmers	9	0.01
kmers	1	0.01
kmers	1	0.01
kmers	29	0.01
kmers	10	0.01
kmers	9	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	16	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	3	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	28	0.01
kmers	26	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	59	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	3	0.01
kmers	55	0.01
kmers	29	0.01
kmers	2	0.01
kmers	1	0.01
kmers	22	0.01
kmers	1	0.01
kmers	15	0.01
kmers	1	0.01
kmers	30	0.01
kmers	1	0.01
kmers	1	0.01
kmers	15	0.01
kmers	27	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	14	0.01
kmers	1	0.01
kmers	1	0.01
kmers	26	0.01
kmers	1	0.01
kmers	20	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	25	0.01
kmers	17	0.01
kmers	20	0.01
kmers	8	0.01
kmers	14	0.01
kmers	1	0.01
kmers	31	0.01
kmers	3	0.01
kmers	26	0.01
kmers	26	0.01
kmers	16	0.01
kmers	22	0.01
kmers	1	0.01
kmers	24	0.01
kmers	1	0.01
kmers	1	0.01
kmers	14	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	46	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	26	0.01
kmers	1	0.01
kmers	1	0.01
kmers	2	0.01
kmers	1	0.01
kmers	19	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	11	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	23	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	11	0.01
kmers	58	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	22	0.01
kmers	1	0.01
kmers	12	0.01
kmers	32	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	16	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	17	0.01
kmers	11	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	23	0.01
kmers	46	0.01
kmers	1	0.01
kmers	54	0.01
kmers	29	0.01
kmers	1	0.01
kmers	1	0.01
kmers	15	0.01
kmers	6	0.01
kmers	1	0.01
kmers	21	0.01
kmers	31	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	12	0.01
kmers	1	0.01
kmers	11	0.01
kmers	1	0.01
kmers	30	0.01
kmers	24	0.01
kmers	8	0.01
kmers	28	0.01
kmers	1	0.01
kmers	30	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	40	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	73	0.01
kmers	15	0.01
kmers	12	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	8	0.01
kmers	1	0.01
kmers	10	0.01
kmers	11	0.01
kmers	1	0.01
kmers	1	0.01
kmers	5	0.01
kmers	1	0.01
kmers	4	0.01
kmers	48	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	11	0.01
kmers	34	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	20	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	28	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	40	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	21	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	3	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	7	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	10	0.01
kmers	1	0.01
kmers	4	0.01
kmers	1	0.01
kmers	1	0.01
kmers	19	0.01
kmers	27	0.01
kmers	1	0.01
kmers	1	0.01
kmers	18	0.01
kmers	1	0.01
kmers	1	0.01
kmers	78	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	27	0.01
kmers	30	0.01
kmers	28	0.01
kmers	4	0.01
kmers	1	0.01
kmers	1	0.01
kmers	26	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	13	0.01
kmers	11	0.01
kmers	5	0.01
kmers	1	0.01
kmers	17	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	20	0.01
kmers	1	0.01
kmers	1	0.01
kmers	34	0.01
kmers	1	0.01
kmers	1	0.01
kmers	17	0.01
kmers	1	0.01
kmers	8	0.01
kmers	1	0.01
kmers	3	0.01
kmers	20	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	12	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	48	0.01
kmers	27	0.01
kmers	53	0.01
kmers	1	0.01
kmers	9	0.01
kmers	1	0.01
kmers	7	0.01
kmers	36	0.01
kmers	10	0.01
kmers	30	0.01
kmers	1	0.01
kmers	10	0.01
kmers	1	0.01
kmers	56	0.01
kmers	1	0.01
kmers	2	0.01
kmers	14	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	23	0.01
kmers	1	0.01
kmers	1	0.01
kmers	47	0.01
kmers	13	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	27	0.01
kmers	1	0.01
kmers	1	0.01
kmers	29	0.01
kmers	31	0.01
kmers	23	0.01
kmers	32	0.01
kmers	22	0.01
kmers	5	0.01
kmers	11	0.01
kmers	26	0.01
kmers	11	0.01
kmers	18	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	30	0.01
kmers	15	0.01
kmers	1	0.01
kmers	48	0.01
kmers	1	0.01
kmers	13	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	24	0.01
kmers	32	0.01
kmers	27	0.01
kmers	24	0.01
kmers	8	0.01
kmers	1	0.01
kmers	24	0.01
kmers	1	0.01
kmers	31	0.01
kmers	23	0.01
kmers	1	0.01
kmers	18	0.01
kmers	1	0.01
kmers	20	0.01
kmers	16	0.01
kmers	4	0.01
kmers	1	0.01
kmers	14	0.01
kmers	1	0.01
kmers	9	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	9	0.01
kmers	9	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	11	0.01
kmers	42	0.01
kmers	1	0.01
kmers	5	0.01
kmers	1	0.01
kmers	20	0.01
kmers	2	0.01
kmers	2	0.01
kmers	29	0.01
kmers	1	0.01
kmers	9	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	22	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	11	0.01
kmers	25	0.01
kmers	1	0.01
kmers	43	0.01
kmers	22	0.01
kmers	1	0.01
kmers	8	0.01
kmers	22	0.01
kmers	1	0.01
kmers	20	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	8	0.01
kmers	1	0.01
kmers	1	0.01
kmers	26	0.01
kmers	2	0.01
kmers	27	0.01
kmers	1	0.01
kmers	11	0.01
kmers	1	0.01
kmers	8	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	40	0.01
kmers	1	0.01
kmers	7	0.01
kmers	30	0.01
kmers	18	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	52	0.01
kmers	1	0.01
kmers	23	0.01
kmers	1	0.01
kmers	1	0.01
kmers	10	0.01
kmers	12	0.01
kmers	1	0.01
kmers	35	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	8	0.01
kmers	1	0.01
kmers	4	0.01
kmers	1	0.01
kmers	49	0.01
kmers	4	0.01
kmers	2	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	13	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	5	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	26	0.01
kmers	1	0.01
kmers	1	0.01
kmers	6	0.01
kmers	1	0.01
kmers	1	0.01
kmers	27	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	23	0.01
kmers	22	0.01
kmers	1	0.01
kmers	18	0.01
kmers	1	0.01
kmers	1	0.01
kmers	3	0.01
kmers	49	0.01
kmers	28	0.01
kmers	23	0.01
kmers	17	0.01
kmers	1	0.01
kmers	4	0.01
kmers	6	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	22	0.01
kmers	42	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	13	0.01
kmers	10	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	29	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	22	0.01
kmers	1	0.01
kmers	18	0.01
kmers	18	0.01
kmers	1	0.01
kmers	6	0.01
kmers	4	0.01
kmers	22	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	61	0.01
kmers	17	0.01
kmers	1	0.01
kmers	5	0.01
kmers	12	0.01
kmers	1	0.01
kmers	28	0.01
kmers	1	0.01
kmers	1	0.01
kmers	11	0.01
kmers	36	0.01
kmers	28	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	25	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	10	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	4	0.01
kmers	22	0.01
kmers	55	0.01
kmers	12	0.01
kmers	2	0.01
kmers	1	0.01
kmers	1	0.01
kmers	30	0.01
kmers	1	0.01
kmers	12	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	13	0.01
kmers	1	0.01
kmers	6	0.01
kmers	8	0.01
kmers	24	0.01
kmers	17	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	25	0.01
kmers	1	0.01
kmers	23	0.01
kmers	17	0.01
kmers	1	0.01
kmers	1	0.01
kmers	29	0.01
kmers	1	0.01
kmers	16	0.01
kmers	1	0.01
kmers	31	0.01
kmers	1	0.01
kmers	1	0.01
kmers	4	0.01
kmers	1	0.01
kmers	29	0.01
kmers	1	0.01
kmers	1	0.01
kmers	2	0.01
kmers	1	0.01
kmers	1	0.01
kmers	27	0.01
kmers	28	0.01
kmers	1	0.01
kmers	1	0.01
kmers	23	0.01
kmers	1	0.01
kmers	25	0.01
kmers	34	0.01
kmers	18	0.01
kmers	1	0.01
kmers	28	0.01
kmers	1	0.01
kmers	6	0.01
kmers	8	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	11	0.01
kmers	40	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	14	0.01
kmers	1	0.01
kmers	34	0.01
kmers	24	0.01
kmers	1	0.01
kmers	1	0.01
kmers	31	0.01
kmers	1	0.01
kmers	1	0.01
kmers	21	0.01
kmers	1	0.01
kmers	1	0.01
kmers	12	0.01
kmers	1	0.01
kmers	23	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	8	0.01
kmers	18	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	62	0.01
kmers	1	0.01
kmers	1	0.01
kmers	8	0.01
kmers	18	0.01
kmers	1	0.01
kmers	34	0.01
kmers	11	0.01
kmers	1	0.01
kmers	13	0.01
kmers	5	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	2	0.01
kmers	11	0.01
kmers	21	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	19	0.01
kmers	26	0.01
kmers	26	0.01
kmers	3	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	16	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	10	0.01
kmers	9	0.01
kmers	6	0.01
kmers	1	0.01
kmers	5	0.01
kmers	1	0.01
kmers	1	0.01
kmers	24	0.01
kmers	35	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	31	0.01
kmers	39	0.01
kmers	1	0.01
kmers	24	0.01
kmers	1	0.01
kmers	1	0.01
kmers	50	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	49	0.01
kmers	1	0.01
kmers	1	0.01
kmers	39	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	5	0.01
kmers	1	0.01
kmers	13	0.01
kmers	23	0.01
kmers	1	0.01
kmers	10	0.01
kmers	4	0.01
kmers	8	0.01
kmers	1	0.01
kmers	1	0.01
kmers	33	0.01
kmers	1	0.01
kmers	29	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	8	0.01
kmers	1	0.01
kmers	1	0.01
kmers	7	0.01
kmers	1	0.01
kmers	69	0.01
kmers	4	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	7	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	18	0.01
kmers	13	0.01
kmers	20	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	12	0.01
kmers	1	0.01
kmers	1	0.01
kmers	5	0.01
kmers	1	0.01
kmers	30	0.01
kmers	64	0.01
kmers	6	0.01
kmers	1	0.01
kmers	1	0.01
kmers	3	0.01
kmers	1	0.01
kmers	11	0.01
kmers	1	0.01
kmers	1	0.01
kmers	15	0.01
kmers	3	0.01
kmers	1	0.01
kmers	44	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	28	0.01
kmers	1	0.01
kmers	1	0.01
kmers	14	0.01
kmers	1	0.01
kmers	1	0.01
kmers	12	0.01
kmers	1	0.01
kmers	1	0.01
kmers	29	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	28	0.01
kmers	1	0.01
kmers	11	0.01
kmers	1	0.01
kmers	30	0.01
kmers	1	0.01
kmers	27	0.01
kmers	1	0.01
kmers	14	0.01
kmers	11	0.01
kmers	22	0.01
kmers	31	0.01
kmers	29	0.01
kmers	4	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	13	0.01
kmers	7	0.01
kmers	1	0.01
kmers	26	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	26	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	10	0.01
kmers	1	0.01
kmers	1	0.01
kmers	6	0.01
kmers	1	0.01
kmers	1	0.01
kmers	13	0.01
kmers	6	0.01
kmers	79	0.01
kmers	1	0.01
kmers	1	0.01
kmers	9	0.01
kmers	8	0.01
kmers	24	0.01
kmers	1	0.01
kmers	1	0.01
kmers	16	0.01
kmers	11	0.01
kmers	1	0.01
kmers	14	0.01
kmers	1	0.01
kmers	9	0.01
kmers	25	0.01
kmers	12	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	9	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	18	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	120	0.01
kmers	12	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	10	0.01
kmers	1	0.01
kmers	1	0.01
kmers	18	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	26	0.01
kmers	13	0.01
kmers	1	0.01
kmers	4	0.01
kmers	1	0.01
kmers	49	0.01
kmers	1	0.01
kmers	1	0.01
kmers	5	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	8	0.01
kmers	6	0.01
kmers	8	0.01
kmers	58	0.01
kmers	1	0.01
kmers	54	0.01
kmers	16	0.01
kmers	13	0.01
kmers	1	0.01
kmers	14	0.01
kmers	1	0.01
kmers	1	0.01
kmers	38	0.01
kmers	13	0.01
kmers	15	0.01
kmers	1	0.01
kmers	1	0.01
kmers	4	0.01
kmers	1	0.01
kmers	34	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	16	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	9	0.01
kmers	1	0.01
kmers	1	0.01
kmers	21	0.01
kmers	4	0.01
kmers	1	0.01
kmers	1	0.01
kmers	7	0.01
kmers	17	0.01
kmers	1	0.01
kmers	1	0.01
kmers	28	0.01
kmers	1	0.01
kmers	14	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	17	0.01
kmers	27	0.01
kmers	32	0.01
kmers	1	0.01
kmers	13	0.01
kmers	3	0.01
kmers	12	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	5	0.01
kmers	32	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	28	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	2	0.01
kmers	1	0.01
kmers	1	0.01
kmers	25	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	31	0.01
kmers	10	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	20	0.01
kmers	1	0.01
kmers	13	0.01
kmers	1	0.01
kmers	19	0.01
kmers	1	0.01
kmers	1	0.01
kmers	24	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	12	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	26	0.01
kmers	1	0.01
kmers	1	0.01
kmers	16	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	2	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	3	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	40	0.01
kmers	1	0.01
kmers	14	0.01
kmers	1	0.01
kmers	1	0.01
kmers	28	0.01
kmers	1	0.01
kmers	25	0.01
kmers	1	0.01
kmers	26	0.01
kmers	18	0.01
kmers	59	0.01
kmers	1	0.01
kmers	16	0.01
kmers	9	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	14	0.01
kmers	22	0.01
kmers	1	0.01
kmers	21	0.01
kmers	4	0.01
kmers	1	0.01
kmers	1	0.01
kmers	24	0.01
kmers	1	0.01
kmers	1	0.01
kmers	31	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	9	0.01
kmers	1	0.01
kmers	21	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	23	0.01
kmers	18	0.01
kmers	1	0.01
kmers	12	0.01
kmers	38	0.01
kmers	1	0.01
kmers	1	0.01
kmers	48	0.01
kmers	1	0.01
kmers	55	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	17	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	13	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	24	0.01
kmers	1	0.01
kmers	1	0.01
kmers	23	0.01
kmers	5	0.01
kmers	18	0.01
kmers	22	0.01
kmers	1	0.01
kmers	1	0.01
kmers	40	0.01
kmers	10	0.01
kmers	24	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	19	0.01
kmers	24	0.01
kmers	22	0.01
kmers	1	0.01
kmers	21	0.01
kmers	1	0.01
kmers	1	0.01
kmers	19	0.01
kmers	9	0.01
kmers	1	0.01
kmers	18	0.01
kmers	1	0.01
kmers	10	0.01
kmers	24	0.01
kmers	1	0.01
kmers	2	0.01
kmers	34	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	23	0.01
kmers	1	0.01
kmers	5	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	9	0.01
kmers	1	0.01
kmers	1	0.01
kmers	27	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	2	0.01
kmers	8	0.01
kmers	1	0.01
kmers	11	0.01
kmers	1	0.01
kmers	24	0.01
kmers	53	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	6	0.01
kmers	18	0.01
kmers	15	0.01
kmers	1	0.01
kmers	19	0.01
kmers	17	0.01
kmers	60	0.01
kmers	1	0.01
kmers	1	0.01
kmers	2	0.01
kmers	4	0.01
kmers	10	0.01
kmers	13	0.01
kmers	27	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	14	0.01
kmers	9	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	19	0.01
kmers	4	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	27	0.01
kmers	32	0.01
kmers	11	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	69	0.01
kmers	30	0.01
kmers	26	0.01
kmers	16	0.01
kmers	1	0.01
kmers	1	0.01
kmers	24	0.01
kmers	1	0.01
kmers	12	0.01
kmers	1	0.01
kmers	2	0.01
kmers	60	0.01
kmers	28	0.01
kmers	53	0.01
kmers	61	0.01
kmers	16	0.01
kmers	1	0.01
kmers	1	0.01
kmers	10	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	50	0.01
kmers	1	0.01
kmers	25	0.01
kmers	31	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	18	0.01
kmers	1	0.01
kmers	1	0.01
kmers	46	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	10	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	23	0.01
kmers	1	0.01
kmers	8	0.01
kmers	1	0.01
kmers	37	0.01
kmers	1	0.01
kmers	51	0.01
kmers	1	0.01
kmers	22	0.01
kmers	37	0.01
kmers	1	0.01
kmers	1	0.01
kmers	1	0.01
kmers	8	0.01
kmers	26	0.01
kmers	1	0.01
kmers	17	0.01
